subject_id,complete_for_physiology,exclusion_reason,equal_retained_trial_counts,rest_annotation_target_trials,rest_epochable_target_trials,rest_rejected_peak_to_peak_trials,rest_retained_trials,left_fist_imagery_annotation_target_trials,left_fist_imagery_epochable_target_trials,left_fist_imagery_rejected_peak_to_peak_trials,left_fist_imagery_retained_trials,right_fist_imagery_annotation_target_trials,right_fist_imagery_epochable_target_trials,right_fist_imagery_rejected_peak_to_peak_trials,right_fist_imagery_retained_trials,both_feet_imagery_annotation_target_trials,both_feet_imagery_epochable_target_trials,both_feet_imagery_rejected_peak_to_peak_trials,both_feet_imagery_retained_trials
34,True,,False,90,90,0,90,21,21,0,21,24,22,0,22,23,21,0,21
35,True,,False,90,90,0,90,22,22,0,22,23,23,0,23,21,21,0,21
36,True,,False,90,90,58,32,23,23,4,19,22,22,6,16,23,23,2,21
37,True,,False,90,90,0,90,23,22,0,22,22,21,0,21,23,21,0,21
38,True,,False,90,90,11,79,23,23,2,21,22,22,1,21,22,22,1,21
39,True,,False,90,90,65,25,23,23,16,7,22,22,14,8,22,22,12,10
40,True,,False,90,90,18,72,21,21,1,20,24,24,0,24,23,23,2,21
41,True,,False,90,90,0,90,24,23,0,23,21,21,0,21,22,22,0,22
42,True,,False,90,90,0,90,22,22,0,22,23,23,0,23,21,21,0,21
44,True,,False,90,90,82,8,22,22,18,4,23,23,18,5,22,22,15,7
45,True,,False,90,90,62,28,23,23,13,10,22,22,8,14,21,21,12,9
46,True,,False,90,90,83,7,23,23,3,20,22,22,2,20,23,23,5,18
47,True,,False,90,90,0,90,24,24,0,24,21,21,0,21,22,22,0,22
48,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,22,22,22,0,23,23,22,1,21,21,20,1
49,True,,False,90,90,87,3,23,23,20,3,22,22,20,2,24,24,18,6
50,True,,False,90,90,0,90,23,23,0,23,22,22,0,22,21,21,0,21
51,True,,False,90,90,0,90,24,24,0,24,21,21,0,21,24,24,0,24
52,True,,False,90,90,80,10,24,24,13,11,21,21,15,6,23,23,12,11
53,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,22,22,22,0,23,23,23,0,22,22,22,0
54,True,,False,90,90,79,11,23,23,15,8,22,22,14,8,22,22,10,12
55,True,,False,90,90,0,90,23,23,0,23,22,22,0,22,22,22,0,22
56,True,,False,90,90,84,6,22,22,16,6,23,23,19,4,22,22,19,3
57,True,,False,90,90,55,35,24,24,16,8,21,21,12,9,23,23,11,12
58,True,,False,90,90,63,27,24,24,12,12,21,21,11,10,22,22,21,1
59,True,,False,90,90,27,63,24,24,9,15,21,21,7,14,23,23,6,17
60,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,23,23,23,0,22,22,21,1,24,24,24,0
61,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,22,22,22,0,23,23,22,1,21,21,21,0
62,True,,False,90,90,0,90,23,23,0,23,22,22,0,22,22,22,0,22
63,True,,False,90,90,17,73,22,22,5,17,23,23,6,17,23,23,5,18
64,True,,False,90,90,0,90,23,23,0,23,22,21,0,21,23,22,0,22
65,True,,False,90,90,55,35,24,24,5,19,21,21,1,20,23,23,6,17
66,True,,False,90,90,2,88,22,22,0,22,23,23,0,23,23,23,0,23
67,True,,False,90,90,0,90,22,22,0,22,23,23,0,23,22,22,0,22
68,True,,False,90,90,45,45,22,22,1,21,23,23,3,20,23,23,9,14
69,True,,False,90,90,21,69,24,24,1,23,21,21,2,19,23,23,1,22
70,True,,False,90,90,26,64,22,22,11,11,23,23,12,11,22,22,2,20
71,True,,False,90,90,21,69,22,22,5,17,23,23,7,16,22,22,4,18
72,True,,False,90,90,0,90,22,22,0,22,23,21,0,21,23,21,0,21
73,True,,False,90,90,0,90,23,21,0,21,22,21,0,21,22,21,0,21
74,True,,False,90,90,0,90,24,22,0,22,21,21,0,21,22,21,0,21
75,True,,False,90,90,83,7,22,22,21,1,23,23,22,1,24,24,23,1
76,True,,False,90,90,0,90,23,21,0,21,22,21,0,21,22,21,0,21
77,True,,False,90,90,59,31,21,21,9,12,24,24,14,10,23,23,17,6
78,True,,False,90,90,0,90,23,23,0,23,22,22,0,22,23,23,0,23
79,True,,False,90,90,63,27,22,22,18,4,23,23,20,3,24,24,13,11
80,True,,False,90,90,62,28,23,23,3,20,22,22,5,17,21,21,9,12
81,True,,False,90,90,0,90,22,22,0,22,23,23,0,23,23,23,0,23
82,True,,False,90,90,1,89,23,23,1,22,22,22,1,21,21,21,1,20
83,True,,False,90,90,76,14,22,22,18,4,23,23,16,7,23,23,16,7
84,True,,False,90,90,7,83,23,23,2,21,22,22,1,21,23,23,2,21
85,True,,False,90,90,19,71,23,23,5,18,22,22,7,15,22,22,3,19
86,True,,False,90,90,70,20,22,22,15,7,23,23,14,9,24,24,2,22
87,True,,False,90,90,29,61,22,22,7,15,23,23,3,20,22,22,7,15
90,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,22,22,19,3,23,23,22,1,23,23,19,4
91,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,22,22,22,0,23,23,23,0,23,23,21,2
93,True,,False,90,90,1,89,23,23,0,23,22,22,0,22,22,22,0,22
94,True,,False,90,90,77,13,22,22,13,9,23,23,9,14,23,23,11,12
95,True,,False,90,90,71,19,23,23,16,7,22,22,16,6,23,23,15,8
96,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,23,23,23,0,22,22,22,0,24,24,24,0
97,True,,False,90,90,87,3,23,23,20,3,22,22,18,4,22,22,21,1
98,True,,False,90,90,0,90,23,23,0,23,22,22,0,22,24,24,0,24
99,True,,False,90,90,73,17,22,22,21,1,23,23,20,3,24,24,18,6
101,True,,False,90,90,30,60,22,22,0,22,23,23,0,23,21,21,0,21
102,True,,False,90,90,0,90,22,21,0,21,23,21,0,21,22,22,0,22
103,True,,False,90,90,59,31,22,22,10,12,23,23,7,16,23,23,15,8
105,True,,False,90,90,3,87,23,23,1,22,22,22,1,21,21,21,1,20
106,True,,False,90,90,70,20,24,24,13,11,21,21,13,8,22,22,16,6
107,True,,False,90,90,50,40,24,24,11,13,21,21,12,9,23,23,9,14
108,False,all_right_fist_imagery_trials_exceeded_300uv,False,90,90,83,7,22,22,21,1,23,23,23,0,23,23,20,3
109,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,23,23,23,0,22,22,22,0,22,22,22,0
