band,roi,class_a,class_b,n_subjects,mean_difference_db,ci95_low_db,ci95_high_db,wilcoxon_statistic,p_value,rank_biserial,holm_p_value,significant_0_05
beta,left_motor,rest,left_fist_imagery,76,0.7871768188870438,0.5855625677105458,0.9772276685947116,270.0,6.550431972021326e-10,0.8154477101845523,3.2752159860106633e-09,True
beta,left_motor,rest,right_fist_imagery,76,1.0631094378554984,0.8765977856704558,1.2487176959739574,136.0,6.4045942536729545e-12,0.9070403280929596,3.842756552203773e-11,True
beta,left_motor,rest,both_feet_imagery,76,0.47144693691593664,0.2939333159756454,0.6430065533310173,512.0,8.493934023048477e-07,0.6500341763499659,2.548180206914543e-06,True
beta,left_motor,left_fist_imagery,right_fist_imagery,76,0.2759326189684545,0.16623764688073178,0.37563503961007416,611.0,1.0284468969723773e-05,0.582365003417635,2.0568937939447545e-05,True
beta,left_motor,left_fist_imagery,both_feet_imagery,76,-0.31572988197110724,-0.4950031355153808,-0.13984533165252877,789.0,0.0004838604604457974,-0.4606971975393028,0.0004838604604457974,True
beta,left_motor,right_fist_imagery,both_feet_imagery,76,-0.5916625009395617,-0.7605730625823547,-0.4181160742123465,441.0,1.2148024631947845e-07,-0.6985645933014354,4.859209852779138e-07,True
beta,midline_motor,rest,left_fist_imagery,76,0.7593200667560128,0.5811587823495533,0.9548145445748893,265.0,5.558432583527625e-10,0.8188653451811346,2.7792162917638126e-09,True
beta,midline_motor,rest,right_fist_imagery,76,0.7739321314361987,0.6008549359906092,0.9472103196118404,156.0,1.3166196696579518e-11,0.8933697881066303,7.899718017947711e-11,True
beta,midline_motor,rest,both_feet_imagery,76,0.57574851491507,0.37020285922894763,0.7722718712324703,445.0,1.3601928075682783e-07,0.6958304853041695,5.440771230273113e-07,True
beta,midline_motor,left_fist_imagery,right_fist_imagery,76,0.01461206468018579,-0.08104269493123606,0.11666325884447364,1455.0,0.9669620085832795,-0.005468215994531784,0.9669620085832795,False
beta,midline_motor,left_fist_imagery,both_feet_imagery,76,-0.18357155184094284,-0.3504256213485626,-0.0136945291574011,987.0,0.013723525013355383,-0.3253588516746411,0.027447050026710766,True
beta,midline_motor,right_fist_imagery,both_feet_imagery,76,-0.19818361652112865,-0.3296808688647128,-0.05175644963859945,927.0,0.005519135227704803,-0.3663704716336295,0.01655740568311441,True
beta,right_motor,rest,left_fist_imagery,76,0.9776779894213616,0.7721142920502346,1.1844644750165163,235.0,2.0467829267085243e-10,0.8393711551606289,1.2280697560251145e-09,True
beta,right_motor,rest,right_fist_imagery,76,0.6481118425806799,0.4629205998132894,0.825697770849623,323.0,3.5872508634429384e-09,0.7792207792207793,1.7936254317214693e-08,True
beta,right_motor,rest,both_feet_imagery,76,0.40485060164596026,0.24391189155545198,0.560111988090752,562.0,3.089252639447873e-06,0.6158578263841422,1.1456720421006857e-05,True
beta,right_motor,left_fist_imagery,right_fist_imagery,76,-0.32956614684068175,-0.46063180352085176,-0.19460700271844397,573.0,4.068660194212729e-06,-0.608339029391661,1.1456720421006857e-05,True
beta,right_motor,left_fist_imagery,both_feet_imagery,76,-0.5728273877754013,-0.7749500468697776,-0.3663085213160939,559.0,2.8641801052517142e-06,-0.6179084073820916,1.1456720421006857e-05,True
beta,right_motor,right_fist_imagery,both_feet_imagery,76,-0.2432612409347196,-0.40980333160899846,-0.07932379105737115,892.0,0.003113860322552514,-0.3902939166097061,0.003113860322552514,True
