band,class,rank,channel,class_vs_others_standardized_effect,mean_difference_db
beta,left_fist_imagery,1,C4,-0.8383970714945972,-0.7810783897755033
beta,left_fist_imagery,2,FC2,-0.8108835921007562,-0.42754088688582553
beta,left_fist_imagery,3,F2,-0.8058650425168381,-0.4614936525691868
beta,left_fist_imagery,4,CP4,-0.7820734071483649,-0.6869434636868262
beta,left_fist_imagery,5,CP6,-0.7380607257864465,-0.5469826943951169
beta,left_fist_imagery,6,Fz,-0.7287788884134843,-0.43164781902274957
beta,left_fist_imagery,7,C2,-0.6934564655474034,-0.438256373774816
beta,left_fist_imagery,8,FC4,-0.6683711882247836,-0.41204967057511754
beta,left_fist_imagery,9,C6,-0.6295193763724116,-0.48296037696857713
beta,left_fist_imagery,10,AFz,-0.6257283966338849,-0.3551296403426218
beta,right_fist_imagery,1,C3,-1.104172304643399,-0.7884543370603652
beta,right_fist_imagery,2,FC3,-1.02790245143318,-0.4434183932257058
beta,right_fist_imagery,3,C1,-1.0059626508458717,-0.5277259908703513
beta,right_fist_imagery,4,FC1,-0.9897141966478671,-0.4285903935130558
beta,right_fist_imagery,5,CP3,-0.9287773221739055,-0.6988318274774447
beta,right_fist_imagery,6,FCz,-0.918668214475068,-0.3940620444553325
beta,right_fist_imagery,7,CP1,-0.9053424138030183,-0.4561347117804472
beta,right_fist_imagery,8,F1,-0.89771007789907,-0.42664233248088723
beta,right_fist_imagery,9,Cz,-0.8193248987435162,-0.3678237274700507
beta,right_fist_imagery,10,CP5,-0.7973098027992036,-0.5636386497105925
beta,both_feet_imagery,1,C3,0.343713074504365,0.25927959567120257
beta,both_feet_imagery,2,O2,-0.2867140903330209,-0.19261999400567026
beta,both_feet_imagery,3,C4,0.2864393614387184,0.23676104718537086
beta,both_feet_imagery,4,PO4,-0.2814223757904082,-0.1820250613023174
beta,both_feet_imagery,5,PO8,-0.26549711945989346,-0.18060166295863517
beta,both_feet_imagery,6,POz,-0.23745199019322932,-0.16449675878783596
beta,both_feet_imagery,7,Oz,-0.23612312626260945,-0.155640237553982
beta,both_feet_imagery,8,O1,-0.23075256222999813,-0.1562271776016885
beta,both_feet_imagery,9,PO7,-0.22360811708907086,-0.1481270403375673
beta,both_feet_imagery,10,F2,0.21997239240066857,0.16240567194808395
