band,contrast,channel,mean_difference_db,p_value,rank_biserial,holm_p_value,significant_0_05
mu,left_minus_right,T8,0.10223530075496148,0.9947558262677381,-0.0008207934336525308,1.0,False
mu,left_minus_right,T9,-0.031997979148438306,0.5585710145659278,-0.07305061559507524,1.0,False
mu,left_minus_right,T10,0.08186482147802378,0.8557058110177973,0.02270861833105335,1.0,False
mu,left_minus_right,TP7,0.1565999178265412,0.2500562479090608,0.1436388508891929,1.0,False
mu,left_minus_right,TP8,-0.21084167981010668,0.03412577627418914,-0.26456908344733243,1.0,False
mu,left_minus_right,P7,0.27655680506719793,0.014750355347060642,0.3045143638850889,0.6785163459647895,False
mu,left_minus_right,P5,0.35771882538531086,0.001642249307156929,0.3931600547195622,0.08703921327931724,False
mu,left_minus_right,P3,0.40185218522938426,0.0040756607904632435,0.35868673050615596,0.20378303952316218,False
mu,left_minus_right,P1,0.24426168439426774,0.025581392931669427,0.27879616963064296,1.0,False
mu,left_minus_right,Pz,-0.15615851313211673,0.4239010131734122,-0.09986320109439124,1.0,False
mu,left_minus_right,P2,-0.4780736425289634,0.00040275254783117835,-0.4418604651162791,0.02255414267854599,True
mu,left_minus_right,P4,-0.709600408573356,4.722521398413673e-06,-0.5715458276333789,0.0002975188481000614,True
mu,left_minus_right,P6,-0.574545458167608,1.5116020656590912e-05,-0.5403556771545828,0.0009220772600520456,True
mu,left_minus_right,P8,-0.3116818845067239,0.0021447129536863365,-0.38331053351573185,0.10938036063800316,False
mu,left_minus_right,PO7,0.28184632907182494,0.011109624600289834,0.3170998632010944,0.5221523562136222,False
mu,left_minus_right,PO3,0.2559572566655678,0.020571282936847356,0.2891928864569083,0.9257077321581311,False
mu,left_minus_right,POz,-0.1386598561665947,0.7741081302864262,-0.035841313269493844,1.0,False
mu,left_minus_right,PO4,-0.5842959967697402,9.541697045645647e-05,-0.48727770177838575,0.005534184286474475,True
mu,left_minus_right,PO8,-0.39533672611264226,0.0019633863608505215,-0.386593707250342,0.10209609076422711,False
mu,left_minus_right,O1,0.12903175501194974,0.2610460357457117,0.14035567715458278,1.0,False
mu,left_minus_right,Oz,0.04820574208779412,0.6376125167139084,0.058823529411764705,1.0,False
mu,left_minus_right,O2,-0.2684764328507304,0.06734179973115538,-0.22845417236662108,1.0,False
mu,left_minus_right,Iz,0.008799762365532114,0.8763857022509378,0.019425444596443228,1.0,False
mu,hands_minus_feet,FC5,-0.1867117192077954,0.025581392931669427,-0.27879616963064296,0.9209301455400993,False
mu,hands_minus_feet,FC3,-0.4192503955033601,0.0046140840496466905,-0.35376196990424075,0.21224786628374775,False
mu,hands_minus_feet,FC1,-0.5027769272948035,0.0015699010308483554,-0.3948016415868673,0.07849505154241777,False
mu,hands_minus_feet,FCz,-0.4934153550053828,0.0005326348115680444,-0.4325581395348837,0.028762279824674396,True
mu,hands_minus_feet,FC2,-0.45465947446571836,0.0021447129536863365,-0.38331053351573185,0.10509093473063048,False
mu,hands_minus_feet,FC4,-0.5765867101730976,0.00023868156288879005,-0.4588235294117647,0.013366167521772243,True
mu,hands_minus_feet,FC6,-0.2600736237435056,0.06043790226055471,-0.2344733242134063,1.0,False
mu,hands_minus_feet,C5,-0.585081512634316,0.0002831023126272324,-0.4533515731874145,0.015570627194497783,True
mu,hands_minus_feet,C3,-1.0931018981242782,2.3938556264007417e-06,-0.5890560875512996,0.00015320676008964747,True
mu,hands_minus_feet,C1,-0.5501901731403509,0.00012718240663124822,-0.4785225718194254,0.007376579584612397,True
mu,hands_minus_feet,Cz,-0.3563405254759889,0.0023755985932068006,-0.37948016415868674,0.11402873247392642,False
mu,hands_minus_feet,C2,-0.5657188390916646,0.00011222152471207947,-0.4823529411764706,0.0066210699580126885,True
mu,hands_minus_feet,C4,-1.0714142207581459,3.82689017071283e-06,-0.5770177838577292,0.00024109408075490831,True
mu,hands_minus_feet,C6,-0.6859206508299558,0.001140091852414254,-0.4062927496580027,0.05814468447312695,False
mu,hands_minus_feet,CP5,-0.7041192540245985,0.0011054234089387831,-0.40738714090287276,0.05748201726481672,False
mu,hands_minus_feet,CP3,-1.0139626766336667,2.470840634871938e-05,-0.5266757865937073,0.0015319211936206016,True
mu,hands_minus_feet,CP1,-0.4810957796082157,0.004807389119633892,-0.3521203830369357,0.21633251038352513,False
mu,hands_minus_feet,CPz,0.0054361329317972,0.8078598842707817,-0.03036935704514364,1.0,False
mu,hands_minus_feet,CP2,-0.399659730868615,0.029589277595191588,-0.27168262653898767,1.0,False
mu,hands_minus_feet,CP4,-0.9942640494802546,3.7004304228796445e-05,-0.5151846785225718,0.002257262557956583,True
mu,hands_minus_feet,CP6,-0.974418906826313,3.992681448106219e-05,-0.5129958960328317,0.0023956088688637314,True
mu,hands_minus_feet,Fp1,-0.3757111748274622,0.032315091804094385,-0.2673050615595075,1.0,False
mu,hands_minus_feet,Fpz,-0.43981158264856873,0.017657422751311692,-0.2963064295485636,0.6709820645498443,False
mu,hands_minus_feet,Fp2,-0.4806123922344951,0.009071710402280378,-0.32585499316005473,0.38101183689577584,False
mu,hands_minus_feet,AF7,-0.28777995886134217,0.05692633620777813,-0.23775649794801643,1.0,False
mu,hands_minus_feet,AF3,-0.38533868380432135,0.0156687073832332,-0.3017783857729138,0.626748295329328,False
mu,hands_minus_feet,AFz,-0.4986637104410027,0.0077696115514101485,-0.332421340629275,0.33409329671063637,False
mu,hands_minus_feet,AF4,-0.494583083030169,0.005076524832943263,-0.34993160054719563,0.22336709264950355,False
mu,hands_minus_feet,AF8,-0.34664731742635074,0.04094441900344583,-0.25526675786593706,1.0,False
mu,hands_minus_feet,F7,-0.12562989239929886,0.36787960815238907,-0.11244870041039672,1.0,False
mu,hands_minus_feet,F5,-0.3195199647860892,0.027063590370461858,-0.27606019151846783,0.9472256629661651,False
mu,hands_minus_feet,F3,-0.3961680396876097,0.02389590371658168,-0.2820793433652531,0.8841484375135221,False
mu,hands_minus_feet,F1,-0.4852396411234473,0.0042484441457946295,-0.35704514363885087,0.19967687485234759,False
mu,hands_minus_feet,Fz,-0.5110048074482237,0.0009315544568192446,-0.413406292749658,0.04937238621141996,True
mu,hands_minus_feet,F2,-0.5908789750741127,0.00014918883124038156,-0.47359781121751027,0.008503763380701749,True
mu,hands_minus_feet,F4,-0.4635353066372162,0.009306732020877475,-0.3247606019151847,0.3815760128559765,False
mu,hands_minus_feet,F6,-0.30162644136534944,0.10829234227105361,-0.20054719562243503,1.0,False
mu,hands_minus_feet,F8,-0.09824268176368642,0.5381336687611101,-0.07688098495212038,1.0,False
mu,hands_minus_feet,FT7,-0.22474833090398347,0.05304574525740775,-0.24158686730506157,1.0,False
mu,hands_minus_feet,FT8,-0.03846478184746432,0.9388774381087582,-0.009575923392612859,1.0,False
mu,hands_minus_feet,T7,-0.1640217424016866,0.11930041455673548,-0.1945280437756498,1.0,False
mu,hands_minus_feet,T8,-0.20220006602723603,0.1938778028051945,-0.1622435020519836,1.0,False
mu,hands_minus_feet,T9,-0.13725001065260656,0.06668847129471292,-0.2290013679890561,1.0,False
mu,hands_minus_feet,T10,-0.02705252077345138,0.5944599284897014,-0.06648426812585499,1.0,False
mu,hands_minus_feet,TP7,-0.2564370409115733,0.10263595139851774,-0.20383036935704515,1.0,False
mu,hands_minus_feet,TP8,-0.37903342703315074,0.01683683052585763,-0.2984952120383037,0.6566363905084476,False
mu,hands_minus_feet,P7,-0.30247935436432455,0.08869635323826877,-0.21258549931600548,1.0,False
mu,hands_minus_feet,P5,-0.39073176594578324,0.05635790988543791,-0.23830369357045145,1.0,False
mu,hands_minus_feet,P3,-0.3252910379293433,0.064759739264335,-0.23064295485636116,1.0,False
mu,hands_minus_feet,P1,-0.13584867486573224,0.4764421885568918,-0.08891928864569083,1.0,False
mu,hands_minus_feet,Pz,0.15501045745901182,0.22400807857961536,0.1518467852257182,1.0,False
mu,hands_minus_feet,P2,0.022462796655097064,0.6981743923013786,0.048426812585499315,1.0,False
mu,hands_minus_feet,P4,-0.342725333406298,0.07632434899831883,-0.2213406292749658,1.0,False
mu,hands_minus_feet,P6,-0.34866544899181756,0.1044947033079057,-0.2027359781121751,1.0,False
mu,hands_minus_feet,P8,-0.24235510883626818,0.2157724159521771,-0.1545827633378933,1.0,False
mu,hands_minus_feet,PO7,-0.011892922078464393,0.8454019892355297,0.024350205198358413,1.0,False
mu,hands_minus_feet,PO3,-0.03850961626227395,0.5381336687611101,-0.07688098495212038,1.0,False
mu,hands_minus_feet,POz,0.35413691196409114,0.12139297150807697,0.19343365253077976,1.0,False
mu,hands_minus_feet,PO4,0.08729094111719696,0.9598113869806247,-0.006292749658002736,1.0,False
mu,hands_minus_feet,PO8,0.09441934872159784,0.7177291117284148,0.04514363885088919,1.0,False
mu,hands_minus_feet,O1,0.1704761698616651,0.5763836984493028,0.06976744186046512,1.0,False
mu,hands_minus_feet,Oz,0.17553584720932366,0.7407781100832331,0.04131326949384405,1.0,False
mu,hands_minus_feet,O2,0.24736532319617915,0.23418452125169487,0.14856361149110808,1.0,False
mu,hands_minus_feet,Iz,-0.09263638536252405,0.24468425873830146,-0.14528043775649796,1.0,False
mu,motor_imagery_minus_rest,FC5,-0.3767513170996117,0.0002512691150328218,-0.45718194254445965,0.0027639602653610398,True
mu,motor_imagery_minus_rest,FC3,-0.7565138704210944,1.3055464451765668e-08,-0.7099863201094391,4.0471939800473574e-07,True
mu,motor_imagery_minus_rest,FC1,-0.8414570022483583,1.1716368171137813e-09,-0.759781121751026,5.03803831358926e-08,True
mu,motor_imagery_minus_rest,FCz,-0.9170743628604734,6.925853928310879e-11,-0.814500683994528,3.878478199854092e-09,True
mu,motor_imagery_minus_rest,FC2,-0.8274620578834618,8.427501945532097e-10,-0.7663474692202462,3.7923758754894435e-08,True
mu,motor_imagery_minus_rest,FC4,-0.6933098387060476,1.9630186635500386e-08,-0.7012311901504787,5.550249915674236e-07,True
mu,motor_imagery_minus_rest,FC6,-0.2879280266141585,0.0028249422286525227,-0.3729138166894665,0.02259953782922018,True
mu,motor_imagery_minus_rest,C5,-0.5547930050210658,3.442555913776768e-06,-0.5797537619699042,7.229367418931213e-05,True
mu,motor_imagery_minus_rest,C3,-0.993537711179223,1.6035518835982488e-10,-0.7986320109439125,8.178114606351069e-09,True
mu,motor_imagery_minus_rest,C1,-0.9272244325910483,1.2740505331447792e-10,-0.8030095759233926,6.75246782566733e-09,True
mu,motor_imagery_minus_rest,Cz,-0.8419425308113619,1.558204777449895e-10,-0.7991792065663474,8.102664842739455e-09,True
mu,motor_imagery_minus_rest,C2,-0.9396415992576505,1.569300338733849e-11,-0.8418604651162791,9.415802032403095e-10,True
mu,motor_imagery_minus_rest,C4,-1.0022007138450837,2.944396958668849e-11,-0.8303693570451436,1.7077502360279323e-09,True
mu,motor_imagery_minus_rest,C6,-0.4620164326866419,5.101232482002804e-05,-0.5058823529411764,0.0008161971971204486,True
mu,motor_imagery_minus_rest,CP5,-0.8664120379813651,9.58471819739609e-09,-0.7165526675786593,3.16295700514071e-07,True
mu,motor_imagery_minus_rest,CP3,-1.2526895648710816,9.327478404638025e-13,-0.8916552667578659,5.969586178968336e-11,True
mu,motor_imagery_minus_rest,CP1,-1.0780580804598203,1.309064333562348e-11,-0.8451436388508892,7.985292434730322e-10,True
mu,motor_imagery_minus_rest,CPz,-0.9420154300305852,2.6134786170647388e-11,-0.8325581395348837,1.541952384068196e-09,True
mu,motor_imagery_minus_rest,CP2,-0.9543574053318057,3.0333343535911686e-11,-0.8298221614227086,1.7290005815469661e-09,True
mu,motor_imagery_minus_rest,CP4,-0.9773822294167066,8.204163110732109e-09,-0.7198358413132695,2.789415457648917e-07,True
mu,motor_imagery_minus_rest,CP6,-0.682715748613615,6.451513420319592e-06,-0.5633378932968536,0.00012257875498607225,True
mu,motor_imagery_minus_rest,Fp1,-1.1370056555844852,9.00249167025317e-11,-0.8095759233926129,4.9513704186392435e-09,True
mu,motor_imagery_minus_rest,Fpz,-1.229121787120194,7.117889648100472e-12,-0.8560875512995896,4.413091581822293e-10,True
mu,motor_imagery_minus_rest,Fp2,-1.1495286977716122,1.168398157701052e-10,-0.8046511627906977,6.309350051585682e-09,True
mu,motor_imagery_minus_rest,AF7,-0.9554284631234267,5.115146437969472e-10,-0.7761969904240766,2.404118825845652e-08,True
mu,motor_imagery_minus_rest,AF3,-0.9945427941918683,3.7587580064120146e-10,-0.7822161422708618,1.804203843077767e-08,True
mu,motor_imagery_minus_rest,AFz,-1.075603060277094,6.694379586584957e-12,-0.8571819425444597,4.2174591395485225e-10,True
mu,motor_imagery_minus_rest,AF4,-0.9289272123073729,3.181413245241766e-09,-0.7395348837209302,1.2407511656442888e-07,True
mu,motor_imagery_minus_rest,AF8,-0.8344522570007692,4.040744600282298e-09,-0.7346101231190151,1.4546680561016272e-07,True
mu,motor_imagery_minus_rest,F7,-0.5196949544923866,2.1960134802233994e-06,-0.5912448700410396,5.050831004513819e-05,True
mu,motor_imagery_minus_rest,F5,-0.7091838200149603,1.9138792812669777e-08,-0.7017783857729138,5.550249915674236e-07,True
mu,motor_imagery_minus_rest,F3,-0.8397391488796832,1.0905448589175786e-08,-0.7138166894664842,3.4897435485362514e-07,True
mu,motor_imagery_minus_rest,F1,-0.8647954267138651,3.538776277592406e-09,-0.7373461012311902,1.30934722270919e-07,True
mu,motor_imagery_minus_rest,Fz,-0.9465910439827175,3.358460674648818e-10,-0.7844049247606019,1.6456457305779207e-08,True
mu,motor_imagery_minus_rest,F2,-0.8584560318773914,1.5810023933654086e-09,-0.7537619699042407,6.640210052134716e-08,True
mu,motor_imagery_minus_rest,F4,-0.7918031047604108,2.710357214071031e-09,-0.7428180574555403,1.0841428856284124e-07,True
mu,motor_imagery_minus_rest,F6,-0.658489813276854,2.848035152657964e-07,-0.6410396716826265,7.404891396910707e-06,True
mu,motor_imagery_minus_rest,F8,-0.47163774438847517,7.52885628581157e-05,-0.49439124487004105,0.0011293284428717354,True
mu,motor_imagery_minus_rest,FT7,-0.2283116804370496,0.026165626700007015,-0.2777017783857729,0.10466250680002806,False
mu,motor_imagery_minus_rest,FT8,-0.12935123411399913,0.2742841144328154,-0.13652530779753763,0.8228523432984463,False
mu,motor_imagery_minus_rest,T7,-0.2634129873027286,0.009793134232713269,-0.3225718194254446,0.06855193962899288,False
mu,motor_imagery_minus_rest,T8,-0.08689955142793371,0.44711360811356216,-0.09493844049247606,0.8942272162271243,False
mu,motor_imagery_minus_rest,T9,-0.22954055256762795,0.014396509268696248,-0.30560875512995894,0.07198254634348124,False
mu,motor_imagery_minus_rest,T10,-0.0719112086933744,0.6596711952241303,-0.05499316005471956,0.8942272162271243,False
mu,motor_imagery_minus_rest,TP7,-0.5083203568433765,1.7296111586945979e-06,-0.5972640218878249,4.151066780867035e-05,True
mu,motor_imagery_minus_rest,TP8,-0.31389578080564956,0.011391044457930046,-0.31600547195622436,0.06855193962899288,False
mu,motor_imagery_minus_rest,P7,-0.9097888553385719,2.603928336603318e-10,-0.7893296853625171,1.301964168301659e-08,True
mu,motor_imagery_minus_rest,P5,-0.9977245090305084,5.115146437969472e-10,-0.7761969904240766,2.404118825845652e-08,True
mu,motor_imagery_minus_rest,P3,-1.0279595140147892,1.1092397608122744e-09,-0.7608755129958961,4.880654947574007e-08,True
mu,motor_imagery_minus_rest,P1,-0.852757121159906,3.3554661542531615e-09,-0.7384404924760601,1.2750771386162015e-07,True
mu,motor_imagery_minus_rest,Pz,-0.7404908072097256,1.4463392028237752e-08,-0.707797537619699,4.3390176084713255e-07,True
mu,motor_imagery_minus_rest,P2,-0.6720664503077021,2.3938556264007417e-06,-0.5890560875512996,5.2664823780816317e-05,True
mu,motor_imagery_minus_rest,P4,-0.7417466564405432,3.6684625348483305e-06,-0.5781121751025992,7.336925069696661e-05,True
mu,motor_imagery_minus_rest,P6,-0.7075950868357207,1.2378730925477744e-05,-0.5458276333789329,0.0002228171566585994,True
mu,motor_imagery_minus_rest,P8,-0.6395652981891563,0.00016007907724140363,-0.4714090287277702,0.0020810280041382474,True
mu,motor_imagery_minus_rest,PO7,-1.1353651276237602,2.30749149470902e-09,-0.7461012311901505,9.460715128306982e-08,True
mu,motor_imagery_minus_rest,PO3,-0.9076769408820596,1.9116970806255993e-07,-0.6503419972640219,5.161582117689118e-06,True
mu,motor_imagery_minus_rest,POz,-0.4819220607539941,0.0003351808016780025,-0.4478796169630643,0.003351808016780025,True
mu,motor_imagery_minus_rest,PO4,-0.6244656238998897,0.0014339310858923406,-0.39808481532147744,0.012905379773031066,True
mu,motor_imagery_minus_rest,PO8,-0.7844181753927385,0.0001747448349455871,-0.46867305061559505,0.0020969380193470452,True
mu,motor_imagery_minus_rest,O1,-0.9590737623593651,7.123548056148808e-07,-0.6191518467852257,1.780887014037202e-05,True
mu,motor_imagery_minus_rest,Oz,-0.7372169890045761,2.285782788208477e-05,-0.5288645690834474,0.0003885830739954411,True
mu,motor_imagery_minus_rest,O2,-0.7710210334738825,8.713823682131728e-05,-0.4900136798905609,0.001219935315498442,True
mu,motor_imagery_minus_rest,Iz,-0.9753622279368112,7.588432665216186e-09,-0.7214774281805746,2.655951432825665e-07,True
beta,left_minus_right,FC5,0.0921476320328325,0.46031573010358906,0.09220246238030096,1.0,False
beta,left_minus_right,FC3,0.14636023433608397,0.012895202644472319,0.31053351573187415,0.606074524290199,False
beta,left_minus_right,FC1,0.10914511965773888,0.03196300607198999,0.26785225718194255,1.0,False
beta,left_minus_right,FCz,0.027914703700126525,0.8010786535428764,0.03146374829001368,1.0,False
beta,left_minus_right,FC2,-0.13914507191403733,0.06734179973115538,-0.22845417236662108,1.0,False
beta,left_minus_right,FC4,-0.18528523452755474,0.0036970349122677254,-0.3625170998632011,0.19963988526245718,False
beta,left_minus_right,FC6,-0.04593739078052896,0.049897817196293784,-0.2448700410396717,1.0,False
beta,left_minus_right,C5,0.10251477247755945,0.06866426040482768,0.22735978112175104,1.0,False
beta,left_minus_right,C3,0.32794825391971705,9.716425688834907e-06,0.5523939808481532,0.000621851244085434,True
beta,left_minus_right,C1,0.18302178072360725,0.0026671950348609273,0.3751025991792066,0.14936292195221193,False
beta,left_minus_right,Cz,0.04423088644523816,0.6189562940390948,0.06210670314637483,1.0,False
beta,left_minus_right,C2,-0.09456271185751579,0.3989548113730741,-0.10533515731874145,1.0,False
beta,left_minus_right,C4,-0.40309588647860034,1.1654449202877197e-05,-0.547469220246238,0.0007342302997812634,True
beta,left_minus_right,C6,-0.19591270820991205,0.0018231503212451838,-0.3893296853625171,0.10574271863222066,False
beta,left_minus_right,CP5,0.20835677401630368,0.003749090505808827,0.3619699042407661,0.19963988526245718,False
beta,left_minus_right,CP3,0.32096854964047367,3.299852925384737e-05,0.518467852257182,0.002045908813738537,True
beta,left_minus_right,CP1,0.17622351995268123,0.008507177112410282,0.3285909712722298,0.4253588556205141,False
beta,left_minus_right,CPz,0.016618211394115394,0.8971503335665718,-0.016142270861833105,1.0,False
beta,left_minus_right,CP2,-0.10062915617498501,0.0954625584818073,-0.20820793433652532,1.0,False
beta,left_minus_right,CP4,-0.3786825696419355,0.00013415331566971636,-0.4768809849521204,0.008049198940182982,True
beta,left_minus_right,CP6,-0.30301314937009066,5.197623549362969e-05,-0.5053351573187415,0.003170550365111411,True
beta,left_minus_right,Fp1,-0.02495306332258535,0.9702896706883882,-0.004651162790697674,1.0,False
beta,left_minus_right,Fpz,-0.10262230945443591,0.15506048862068184,-0.17756497948016417,1.0,False
beta,left_minus_right,Fp2,-0.18217069046256243,0.009426267864560784,-0.32421340629274964,0.4618871253634784,False
beta,left_minus_right,AF7,0.17478797838782328,0.07778931007652318,0.22024623803009577,1.0,False
beta,left_minus_right,AF3,0.06660890947001924,0.26666439041943124,0.1387140902872777,1.0,False
beta,left_minus_right,AFz,-0.08806183223201157,0.1602131579438072,-0.1753761969904241,1.0,False
beta,left_minus_right,AF4,-0.13783966199506845,0.04594556907664977,-0.24924760601915186,1.0,False
beta,left_minus_right,AF8,-0.23139641930742547,0.0003584204095504316,-0.4456908344733242,0.021146804163475464,True
beta,left_minus_right,F7,0.1478590339909466,0.07778931007652318,0.22024623803009577,1.0,False
beta,left_minus_right,F5,0.10971455925666526,0.014396509268696248,0.30560875512995894,0.6542308614610419,False
beta,left_minus_right,F3,0.0553109855181664,0.32741990794443,0.12229822161422708,1.0,False
beta,left_minus_right,F1,0.05115664219472582,0.33835772899966643,0.11956224350205198,1.0,False
beta,left_minus_right,Fz,-0.060051635016514594,0.16416183720170685,-0.17373461012311903,1.0,False
beta,left_minus_right,F2,-0.2106309112967215,0.0031662661066957287,-0.36853625170998633,0.1741446358682651,False
beta,left_minus_right,F4,-0.16161656773805244,0.002341277742801544,-0.38002735978112173,0.133452831339688,False
beta,left_minus_right,F6,-0.09393405490643511,0.03680595056282367,-0.26073871409028726,1.0,False
beta,left_minus_right,F8,-0.03868682112935894,0.051451633520796965,-0.24322845417236663,1.0,False
beta,left_minus_right,FT7,0.05335945858955978,0.8385473227872502,0.025444596443228454,1.0,False
beta,left_minus_right,FT8,-0.03231954127314559,0.22905607621202606,-0.15020519835841314,1.0,False
beta,left_minus_right,T7,0.1410544915995503,0.021548437106505558,0.28700410396716824,0.9481312326862446,False
beta,left_minus_right,T8,-0.06936660574045343,0.15127930106372697,-0.17920656634746923,1.0,False
beta,left_minus_right,T9,0.13725466010978346,0.10638008867949451,0.20164158686730507,1.0,False
beta,left_minus_right,T10,0.030916476770064726,0.6127909300270249,-0.06320109439124487,1.0,False
beta,left_minus_right,TP7,0.16608046208344648,0.014222410031761782,0.306155950752394,0.6542308614610419,False
beta,left_minus_right,TP8,-0.0749960000308398,0.12566410650914608,-0.19124487004103968,1.0,False
beta,left_minus_right,P7,0.17738350433008468,0.022051993309681172,0.2859097127222982,0.9481312326862446,False
beta,left_minus_right,P5,0.17869543574981236,0.007871343136071116,0.3318741450068399,0.4014384999396269,False
beta,left_minus_right,P3,0.1732588550579274,0.011249553097984647,0.31655266757865935,0.5399785487032631,False
beta,left_minus_right,P1,0.09525098943852316,0.23418452125169487,0.14856361149110808,1.0,False
beta,left_minus_right,Pz,0.006608418637627685,0.8488337503206671,0.023803009575923392,1.0,False
beta,left_minus_right,P2,-0.09449218566244727,0.11520018659634465,-0.1967168262653899,1.0,False
beta,left_minus_right,P4,-0.19969580459346484,0.0040756607904632435,-0.35868673050615596,0.21193436110408867,False
beta,left_minus_right,P6,-0.13666362390011888,0.02926286878001426,-0.2722298221614227,1.0,False
beta,left_minus_right,P8,-0.049108631435997134,0.33835772899966643,-0.11956224350205198,1.0,False
beta,left_minus_right,PO7,0.1381901676586098,0.12139297150807697,0.19343365253077976,1.0,False
beta,left_minus_right,PO3,0.15907370814955588,0.02179894989486542,0.28645690834473325,0.9481312326862446,False
beta,left_minus_right,POz,0.05708471796041362,0.5733963861194356,0.07031463748290014,1.0,False
beta,left_minus_right,PO4,0.028018816422148266,0.8971503335665718,-0.016142270861833105,1.0,False
beta,left_minus_right,PO8,0.02857606283832832,0.9423638901552435,0.009028727770177838,1.0,False
beta,left_minus_right,O1,0.13594104082453534,0.2500562479090608,0.1436388508891929,1.0,False
beta,left_minus_right,Oz,0.11424373137122576,0.32741990794443,0.12229822161422708,1.0,False
beta,left_minus_right,O2,0.1164526150478448,0.38682027999527047,0.10807113543091655,1.0,False
beta,left_minus_right,Iz,0.028181341899513723,0.9353921573021373,0.01012311901504788,1.0,False
beta,hands_minus_feet,FC5,-0.27080792930818637,0.007089869062341371,-0.3362517099863201,0.2906846315559962,False
beta,hands_minus_feet,FC3,-0.33273019353038097,0.00012718240663124822,-0.4785225718194254,0.006613485144824908,True
